Star,Planet
1.30E-05,791.0152491
1.31E-05,790.8041848
1.29E-05,791.9801169
1.02E-05,778.0591251
1.04E-05,776.3548175
1.29E-05,778.6646771
1.21E-05,766.7627996
1.26E-05,739.8167381
1.30E-05,755.5108051
1.31E-05,763.8816659
1.09E-05,769.0346
9.88E-06,769.5327034
1.22E-05,772.3441132
1.31E-05,767.2239001
1.30E-05,764.9373822
1.31E-05,757.5393999
1.30E-05,770.491195
1.30E-05,765.5384197
1.29E-05,773.1355045
1.17E-05,766.8951969
1.01E-05,767.3459449
1.22E-05,775.2590762
1.29E-05,763.1864772
1.26E-05,767.4286834
9.37E-06,767.2503916
8.01E-06,763.339679
9.53E-06,764.0955208
1.27E-05,766.3286571
1.30E-05,764.1468128
1.30E-05,769.3621815
1.30E-05,764.7712503
1.31E-05,762.6081303
1.31E-05,766.0282043
1.31E-05,769.4354359
1.31E-05,769.8358548
1.31E-05,767.1771438
1.31E-05,767.1112755
1.31E-05,765.623746
1.31E-05,771.9755718
1.31E-05,768.6700531
1.30E-05,769.5390184
1.20E-05,774.3980394
9.17E-06,766.2529825
9.36E-06,771.3840161
1.07E-05,769.8456935
1.28E-05,766.7600805
1.31E-05,771.6749722
1.29E-05,766.4373785
1.19E-05,774.0649476
1.29E-05,772.7175956
1.31E-05,761.4187416
1.31E-05,768.1029288
1.31E-05,766.1137285
1.31E-05,771.0260304
1.31E-05,748.9989296
1.31E-05,746.8687638
1.31E-05,760.1709735
1.30E-05,763.0918931
1.18E-05,767.0603093
1.02E-05,745.2134271
9.27E-06,742.9459514
7.70E-06,758.4017707
9.05E-06,756.7112032
1.24E-05,754.850998
1.10E-05,750.0995641
1.14E-05,761.679129
1.30E-05,755.1326857
1.31E-05,758.2497742
1.31E-05,755.2877378
1.31E-05,751.9455795
1.31E-05,761.0510948
1.31E-05,740.6491433
1.31E-05,749.0637286
1.31E-05,750.077936
1.31E-05,755.5937699
1.30E-05,750.6507852
1.31E-05,743.2171177
1.31E-05,749.3290924
1.31E-05,733.1774785
1.31E-05,733.2067837
1.31E-05,742.2044474
1.31E-05,738.9125136
1.24E-05,737.0057404
1.29E-05,734.5009607
1.31E-05,740.7094236
1.31E-05,731.2288032
1.31E-05,738.1771571
1.31E-05,749.4021129
1.31E-05,736.0512331
1.30E-05,740.5763087
1.31E-05,735.1961242
1.30E-05,734.7130708
1.19E-05,748.3749883
1.29E-05,745.5142169
1.31E-05,744.7236099
1.31E-05,738.863738
1.31E-05,735.9866586
1.31E-05,736.7596019
1.31E-05,743.1085222
1.31E-05,745.8907793
1.31E-05,743.5705227
1.31E-05,743.8949611
1.27E-05,737.0902701
1.31E-05,744.2115517
1.30E-05,738.1203304
1.31E-05,740.1444391
1.31E-05,728.7657709
1.31E-05,733.2018593
1.31E-05,734.9980678
1.31E-05,719.7277935
1.31E-05,734.5360529
1.31E-05,734.4619478
1.31E-05,734.0629152
1.31E-05,742.7042571
1.30E-05,735.3803874
1.30E-05,733.3699389
1.31E-05,733.6101406
1.31E-05,733.9817605
1.31E-05,736.1852286
1.31E-05,731.3370422
1.31E-05,732.6083464
1.30E-05,741.8459566
1.29E-05,730.6550158
1.31E-05,733.6734787
1.31E-05,728.5654717
1.30E-05,721.4410213
1.29E-05,723.6280455
1.27E-05,710.2549906
1.06E-05,664.1988731
7.97E-06,698.866722
8.25E-06,706.4370875
1.15E-05,699.879436
1.28E-05,715.5838292
1.29E-05,706.5587753
1.30E-05,692.5119585
1.30E-05,713.5338834
1.31E-05,711.0795199
1.30E-05,711.7602924
1.20E-05,708.859576
1.24E-05,701.8731669
1.31E-05,711.7688768
1.31E-05,710.9833715
1.30E-05,708.4016045
1.06E-05,709.470441
1.01E-05,704.6274549
1.27E-05,703.2191995
1.31E-05,710.8827945
1.31E-05,692.803638
1.29E-05,692.5373226
1.28E-05,672.5112887
1.31E-05,652.1620832
1.31E-05,666.4788043
1.31E-05,686.9808825
1.30E-05,668.3294081
1.29E-05,679.4395609
1.11E-05,678.1373303
1.13E-05,670.3659825
1.30E-05,679.0026692
1.31E-05,671.1782776
1.30E-05,621.1123849
1.30E-05,623.2387028
1.31E-05,596.7953655
1.31E-05,550.0980386
1.30E-05,562.8311215
1.23E-05,578.3326962
1.30E-05,532.3940058
1.28E-05,534.968718
9.98E-06,531.6297569
1.03E-05,531.5504633
1.05E-05,552.5142452
1.00E-05,563.7901748
1.27E-05,601.8712918
1.30E-05,577.3496788
1.31E-05,531.9947629
1.31E-05,546.8964512
1.31E-05,549.5067412
1.29E-05,560.0049557
1.23E-05,562.825438
1.03E-05,575.6051274
1.14E-05,589.4300472
1.21E-05,584.8374125
1.19E-05,537.5067051
1.28E-05,552.4746148
1.30E-05,572.6654227
1.31E-05,554.2856345
1.31E-05,557.5390609
1.27E-05,565.6028611
1.16E-05,567.320055
1.29E-05,561.4485726
1.31E-05,570.1490959
1.31E-05,549.7767138
1.31E-05,567.6780088
1.31E-05,565.3331671
1.30E-05,570.4795158
1.22E-05,559.3793613
1.02E-05,557.2215201
1.07E-05,549.1588988
1.17E-05,575.9721323
1.21E-05,553.3063307
1.31E-05,568.433955
1.31E-05,559.470942
1.31E-05,561.8126418
1.31E-05,573.1320954
1.31E-05,558.9306274
1.31E-05,568.4431699
1.30E-05,560.6646224
1.30E-05,545.1283469
1.30E-05,556.1718845
1.28E-05,564.7842895
9.60E-06,518.8623714
8.35E-06,489.0623081
9.96E-06,515.1031797
1.28E-05,514.6252569
1.29E-05,544.3489299
1.30E-05,548.5874334
1.30E-05,521.6205948
1.31E-05,495.3450884
1.31E-05,495.1014788
1.31E-05,496.3933796
1.31E-05,519.2824567
1.30E-05,514.920554
1.31E-05,527.8455365
1.25E-05,520.3720474
1.28E-05,529.0802813
1.31E-05,500.8895811
1.31E-05,506.8560634
1.31E-05,503.3591427
1.30E-05,511.4946349
1.29E-05,511.4352504
1.31E-05,516.0105524
1.27E-05,523.077826
1.30E-05,528.4826993
1.31E-05,526.986575
1.31E-05,526.8239292
1.31E-05,501.761868
1.31E-05,531.5122175
1.31E-05,527.9862128
1.25E-05,517.7182044
1.18E-05,534.7710864
1.30E-05,529.4133492
1.31E-05,536.3270999
1.30E-05,524.5136253
1.29E-05,532.8271989
1.30E-05,506.3820157
1.16E-05,510.1257432
8.98E-06,512.1591955
9.50E-06,506.5649529
1.26E-05,523.7116774
1.16E-05,507.3066732
1.08E-05,517.0148298
9.35E-06,503.7002607
7.98E-06,505.9191092
9.45E-06,500.9968655
1.26E-05,479.2138005
1.29E-05,484.440063
1.30E-05,449.9068832
1.30E-05,448.7178807
1.30E-05,427.0458757
1.31E-05,427.2837943
1.30E-05,448.0484565
1.30E-05,389.4134588
1.30E-05,399.7453488
1.29E-05,448.310655
1.31E-05,426.0620973
1.31E-05,385.507269
1.15E-05,378.6799902
1.12E-05,406.4975435
1.30E-05,408.7178949
1.31E-05,427.1221438
1.31E-05,441.923443
1.31E-05,443.3140123
1.25E-05,432.8087541
1.26E-05,427.6883035
1.31E-05,415.6382452
1.31E-05,409.9314959
1.31E-05,415.7217494
1.29E-05,430.7534469
1.31E-05,413.2327239
1.31E-05,436.9706513
1.31E-05,427.1970245
1.30E-05,462.9841796
1.31E-05,430.5573719
1.31E-05,416.1822557
1.31E-05,421.3876839
1.30E-05,437.4403917
1.23E-05,421.377486
9.99E-06,427.3928689
1.11E-05,417.6892702
1.30E-05,424.272981
1.31E-05,442.2391239
1.26E-05,427.269982
1.17E-05,416.0968763
1.29E-05,428.7540052
1.31E-05,437.6462946
1.31E-05,422.4455578
1.31E-05,431.9523026
1.31E-05,426.3737217
1.30E-05,403.9033703
1.29E-05,414.013189
1.07E-05,396.4158914
1.05E-05,405.8423493
1.28E-05,409.3955751
1.29E-05,414.4220911
1.28E-05,392.2420002
1.25E-05,384.7696638
1.17E-05,394.1018362
1.13E-05,408.7931937
8.69E-06,395.438665
7.72E-06,392.4350664
9.64E-06,397.8030169
1.26E-05,375.3144351
1.27E-05,391.7757255
1.27E-05,414.6109633
1.30E-05,413.9986352
1.30E-05,398.5298219
1.30E-05,392.9233328
1.30E-05,377.4682129
1.30E-05,388.5722386
1.30E-05,400.6503796
1.31E-05,392.7751457
1.31E-05,404.2338659
1.30E-05,404.1699542
1.30E-05,391.2862701
1.31E-05,361.3680139
1.31E-05,326.7136061
1.31E-05,223.2779655
1.31E-05,273.3898322
1.30E-05,302.0418283
1.29E-05,312.0689124
1.30E-05,329.0595057
1.10E-05,331.6216717
9.93E-06,305.9658312
1.23E-05,328.4013681
1.30E-05,338.7254076
1.29E-05,339.4650431
1.26E-05,352.0742327
1.28E-05,330.3078364
1.30E-05,334.9219114
1.31E-05,351.0910073
1.30E-05,344.3028392
1.30E-05,291.5626768
1.31E-05,319.0867216
1.30E-05,319.3517047
1.28E-05,314.2589422
1.08E-05,316.4509895
1.16E-05,301.179369
1.17E-05,280.8817511
1.25E-05,269.6256508
1.30E-05,256.0185656
1.31E-05,254.1872815
1.31E-05,272.366387
1.31E-05,283.0652848
1.31E-05,279.9240213
1.31E-05,265.7967491
1.30E-05,244.9223774
1.30E-05,253.6711441
1.30E-05,250.942483
1.29E-05,269.594221
1.06E-05,229.6041094
9.63E-06,180.1400713
1.19E-05,115.8016448
1.28E-05,157.2626135
1.30E-05,177.6107961
1.29E-05,185.281812
1.28E-05,177.8607175
1.25E-05,148.5962354
9.42E-06,147.2928804
7.74E-06,173.0954993
8.90E-06,170.5631522
1.23E-05,161.4927521
1.28E-05,160.2414182
1.29E-05,169.5488598
1.11E-05,164.4444847
1.11E-05,166.876801
1.27E-05,172.7881573
1.24E-05,163.7567412
1.27E-05,183.4111153
1.27E-05,155.5947741
1.30E-05,156.6464307
1.31E-05,167.8632102
1.31E-05,169.5694681
1.30E-05,164.420487
1.30E-05,174.2122074
1.29E-05,166.665464
1.30E-05,176.3087571
1.31E-05,160.9395268
1.31E-05,172.5680465
1.31E-05,158.0956933
1.31E-05,165.32012
1.30E-05,181.5635751
1.30E-05,158.914039
1.30E-05,178.9287858
1.31E-05,163.0752636
1.31E-05,177.7578791
1.31E-05,170.0153695
1.31E-05,162.692633
1.31E-05,189.1821407
1.31E-05,151.1337317
1.30E-05,158.6334434
1.24E-05,167.4374603
1.14E-05,151.0805025
1.30E-05,170.3705307
1.30E-05,152.1507151
1.25E-05,138.7548843
1.16E-05,150.2251102
1.29E-05,143.0701951
1.31E-05,127.2343397
1.30E-05,134.5724007
1.27E-05,135.2944069
1.08E-05,128.7024919
1.24E-05,133.6268895
1.30E-05,141.6830513
1.30E-05,134.3031386
1.31E-05,131.5734068
1.30E-05,120.4151384
1.30E-05,129.573886
1.30E-05,127.5260932
1.30E-05,133.6438861
1.30E-05,134.1324431
1.30E-05,139.9636814
1.29E-05,146.0533399
1.30E-05,143.1384528
1.26E-05,152.7532382
1.03E-05,146.5597102
1.11E-05,148.9844541
1.26E-05,148.1949367
9.51E-06,159.1082803
8.30E-06,148.027534
9.93E-06,156.7644548
1.26E-05,148.5560498
1.14E-05,155.1116923
9.95E-06,158.2644731
1.18E-05,155.009053
1.29E-05,167.070019
1.29E-05,153.5034962
1.29E-05,158.1277749
1.28E-05,161.0920775
1.29E-05,156.8902347
1.29E-05,154.5527547
1.29E-05,159.8200603
1.30E-05,153.6287097
1.24E-05,157.1544602
1.06E-05,170.852387
1.21E-05,155.8982991
1.22E-05,157.1716228
1.29E-05,159.1431543
1.28E-05,154.5408797
1.28E-05,156.9701923
1.29E-05,152.1216516
1.27E-05,157.038996
9.63E-06,153.1163097
8.83E-06,162.6896387
1.11E-05,153.3187106
1.29E-05,150.5856043
1.30E-05,156.1799915
1.30E-05,140.1904133
1.30E-05,140.0377346
1.30E-05,144.6604253
1.30E-05,139.8666037
1.30E-05,129.2807237
1.30E-05,136.1377265
1.30E-05,139.5575706
1.29E-05,152.7337011
1.17E-05,150.1114583
1.16E-05,156.4781151
1.29E-05,148.4873703
1.30E-05,154.7889335
1.30E-05,146.4701709
1.30E-05,141.1203501
1.30E-05,146.9495633
1.30E-05,142.2304157
1.30E-05,150.2561082
1.30E-05,139.1501603
1.30E-05,143.3967154
1.30E-05,140.2452471
1.30E-05,136.0677318
1.29E-05,140.1292823
1.25E-05,135.8386157
1.17E-05,126.0421613
8.47E-06,118.6694338
8.15E-06,118.7572919
1.07E-05,97.24060368
1.27E-05,88.07857822
1.29E-05,88.15484716
1.27E-05,84.80049697
1.26E-05,90.19234252
1.29E-05,83.17720463
1.29E-05,88.11912655
1.30E-05,92.35381388
1.20E-05,92.74251809
1.08E-05,90.95519076
1.28E-05,92.56711631
1.29E-05,91.8039776
1.23E-05,101.0748227
1.01E-05,92.184437
1.06E-05,89.16883539
1.29E-05,93.87991777
1.30E-05,99.00433251
1.30E-05,79.92709536
1.30E-05,84.53215126
1.30E-05,94.06985169
1.30E-05,91.5354285
1.30E-05,89.28332071
1.30E-05,95.18010183
1.30E-05,97.09960246
1.30E-05,92.32507821
1.30E-05,85.03024938
1.30E-05,92.4459086
1.30E-05,85.71415108
1.30E-05,80.19990489
1.30E-05,90.99736268
1.29E-05,91.13795091
1.30E-05,90.13205603
1.29E-05,87.36830955
1.30E-05,84.42656816
1.30E-05,89.94331933
1.30E-05,87.22518496
1.30E-05,79.66036709
1.30E-05,88.32200804
1.30E-05,83.46523027
1.30E-05,81.1815342
1.30E-05,72.58974633
1.30E-05,79.80693754
1.30E-05,80.37915906
1.30E-05,75.86878979
1.25E-05,72.55224674
