Nested Sampling Global Log-Evidence           :   -0.716370049559359412E+01  +/-    0.132537676669642751E+00
Nested Importance Sampling Global Log-Evidence:   -0.950041425165487219E+01  +/-    0.165877811222282540E+00

Dim No.       Mean        Sigma
   1   -0.317840737966616071E+01    0.211565470225747188E+01
   2   -0.385438423857230317E+00    0.344083722732098307E+01
   3    0.474474709747198915E+03    0.218709355132475281E+03
   4    0.209215795190328390E+04    0.653198569817051180E+03
   5   -0.327344200345773606E+01    0.330600936052447558E+01
   6    0.234444744655302240E+00    0.438766642420493846E+00
   7   -0.158079726694577172E+01    0.136497447514902692E+01
   8    0.119845088590203130E+01    0.105958642702648542E+01
   9    0.524679385017535749E+00    0.247825656931442623E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.262161284155678942E+01
   2   -0.442928852475900925E+01
   3    0.485722155838621916E+03
   4    0.251574375309504831E+04
   5   -0.594234821886772124E+00
   6    0.409991614989293263E+00
   7   -0.241869051709076599E+01
   8    0.272862636435927453E+01
   9    0.239805006755345829E+00

MAP Parameters
Dim No.        Parameter
   1   -0.262161284155678942E+01
   2   -0.442928852475900925E+01
   3    0.485722155838621916E+03
   4    0.251574375309504831E+04
   5   -0.594234821886772124E+00
   6    0.409991614989293263E+00
   7   -0.241869051709076599E+01
   8    0.272862636435927453E+01
   9    0.239805006755345829E+00
