Nested Sampling Global Log-Evidence           :   -0.700383905375722371E+01  +/-    0.131015992290817840E+00
Nested Importance Sampling Global Log-Evidence:   -0.935744373806638130E+01  +/-    0.110880893015727303E+00

Dim No.       Mean        Sigma
   1   -0.867938706099386259E+01    0.908387207529122054E+00
   2   -0.278752208449214045E+01    0.190360493208441439E+01
   3    0.513645918256292248E+03    0.272331658565346856E+03
   4    0.267835158347108427E+04    0.240441202908059751E+03
   5   -0.286578393572297729E+01    0.190027165506350149E+01
   6    0.525297864998028996E+00    0.302751908435245742E+00
   7   -0.155741426560379215E+01    0.133209096446966080E+01
   8   -0.552924193076127768E+01    0.246715361965128421E+01
   9   -0.301651810354911998E+01    0.220951775945895035E+01
  10   -0.499194643268070060E+01    0.269714466569737299E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.865508524096112453E+01
   2   -0.327656556228136697E+01
   3    0.480401201452960436E+03
   4    0.319578172065593162E+04
   5   -0.316084718008325893E+01
   6    0.438468971041014344E+00
   7   -0.200739606795664827E+01
   8   -0.118308501090471374E+01
   9   -0.757426276646391727E+00
  10   -0.245683499728052013E+01

MAP Parameters
Dim No.        Parameter
   1   -0.865508524096112453E+01
   2   -0.327656556228136697E+01
   3    0.480401201452960436E+03
   4    0.319578172065593162E+04
   5   -0.316084718008325893E+01
   6    0.438468971041014344E+00
   7   -0.200739606795664827E+01
   8   -0.118308501090471374E+01
   9   -0.757426276646391727E+00
  10   -0.245683499728052013E+01
