Nested Sampling Global Log-Evidence           :   -0.614761209300532704E+06  +/-    0.324428487762160378E+00
Nested Importance Sampling Global Log-Evidence:   -0.614764185370057006E+06  +/-    0.999984536281747993E+00

Dim No.       Mean        Sigma
   1   -0.653763722779642364E+01    0.000000000000000000E+00
   2   -0.423052174652458213E+01    0.000000000000000000E+00
   3    0.396591544775970476E+03    0.000000000000000000E+00
   4    0.183435404262462589E+04    0.000000000000000000E+00
   5   -0.214740070963851792E+01    0.000000000000000000E+00
   6   -0.997974947385471545E+00    0.000000000000000000E+00
   7    0.358732291198514908E+00    0.000000000000000000E+00
   8   -0.149567015120248770E+01    0.000000000000000000E+00
   9    0.819788386693780069E+00    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.653763722779642364E+01
   2   -0.423052174652458213E+01
   3    0.396591544775970476E+03
   4    0.183435404262462589E+04
   5   -0.214740070963851792E+01
   6   -0.997974947385471545E+00
   7    0.358732291198514908E+00
   8   -0.149567015120248770E+01
   9    0.819788386693780069E+00

MAP Parameters
Dim No.        Parameter
   1   -0.653763722779642364E+01
   2   -0.423052174652458213E+01
   3    0.396591544775970476E+03
   4    0.183435404262462589E+04
   5   -0.214740070963851792E+01
   6   -0.997974947385471545E+00
   7    0.358732291198514908E+00
   8   -0.149567015120248770E+01
   9    0.819788386693780069E+00
