Nested Sampling Global Log-Evidence           :   -0.583476694898174610E+06  +/-    0.155060728717068885E+01
Nested Importance Sampling Global Log-Evidence:   -0.583477985020781052E+06  +/-    0.767348990349046439E-01

Dim No.       Mean        Sigma
   1   -0.529192039102400624E+01    0.821940441235539596E-02
   2   -0.226778645825540082E+01    0.109273894199499871E-01
   3    0.266636691879373757E+03    0.122840510007426005E+02
   4    0.112761690234061416E+04    0.545311656252049737E+01
   5   -0.489411574788075066E+00    0.638147568833449287E-02
   6    0.975600073571717408E+00    0.937675277280837494E-02
   7   -0.274138945466934514E+01    0.484240855826335803E+00
   8   -0.586007300586327506E+01    0.801499708385710469E-02
   9   -0.759471969226899812E+01    0.396717929838557616E-02
  10   -0.933049811007589724E+01    0.287502108328637762E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.529145537507197972E+01
   2   -0.226492516506481589E+01
   3    0.280654449431272894E+03
   4    0.112823924462558057E+04
   5   -0.480681643844571127E+00
   6    0.964636495530257765E+00
   7   -0.286441462458088214E+01
   8   -0.585381951314977922E+01
   9   -0.758968437349735936E+01
  10   -0.936617748931621641E+01

MAP Parameters
Dim No.        Parameter
   1   -0.529145537507197972E+01
   2   -0.226492516506481589E+01
   3    0.280654449431272894E+03
   4    0.112823924462558057E+04
   5   -0.480681643844571127E+00
   6    0.964636495530257765E+00
   7   -0.286441462458088214E+01
   8   -0.585381951314977922E+01
   9   -0.758968437349735936E+01
  10   -0.936617748931621641E+01
