Nested Sampling Global Log-Evidence           :   -0.581587530327148037E+06  +/-    0.143981742266260615E+01
Nested Importance Sampling Global Log-Evidence:   -0.581590534602301079E+06  +/-    0.598371830439066860E-01

Dim No.       Mean        Sigma
   1   -0.467995258399143932E+01    0.280424484915966568E-01
   2   -0.178438888235082493E+01    0.276539690811606204E-01
   3    0.615644804471329081E+02    0.236553670153934732E+02
   4    0.126190429836513135E+04    0.200077278357402868E+02
   5    0.637407714623947769E-01    0.516288942818234325E-02
   6    0.999623270475205050E+00    0.253945133513859144E-03
   7   -0.122639469304410054E+01    0.123409378322171293E+01
   8   -0.577342167460117039E+01    0.109860123209409334E-01
   9   -0.755226466108737604E+01    0.508640654361099034E-02
  10   -0.995213845329983826E+01    0.304164425913726715E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.466395438268222762E+01
   2   -0.180372717866336973E+01
   3    0.404794074959212438E+02
   4    0.124760417462225837E+04
   5    0.618347845816504815E-01
   6    0.999634452952181007E+00
   7    0.406490704473208453E+00
   8   -0.576428616437485619E+01
   9   -0.754957924227386989E+01
  10   -0.998401150936633641E+01

MAP Parameters
Dim No.        Parameter
   1   -0.466395438268222762E+01
   2   -0.180372717866336973E+01
   3    0.404794074959212438E+02
   4    0.124760417462225837E+04
   5    0.618347845816504815E-01
   6    0.999634452952181007E+00
   7    0.406490704473208453E+00
   8   -0.576428616437485619E+01
   9   -0.754957924227386989E+01
  10   -0.998401150936633641E+01
