# Wlen (micron), Fpl/Fs, Fpl/Fs error
2.9059 2.8879 2.9239 2.9740e-04 1.0000e-06
2.9409 2.9239 2.9599 3.6904e-04 1.0000e-06
2.9779 2.9599 2.9959 1.4343e-04 1.0000e-06
3.0139 2.9959 3.0318 2.4312e-04 1.0000e-06
3.0487 3.0318 3.0678 3.6076e-04 1.0000e-06
3.0855 3.0678 3.1038 2.3677e-04 1.0000e-06
3.1212 3.1038 3.1397 4.2661e-04 1.0000e-06
3.1573 3.1397 3.1757 2.2941e-04 1.0000e-06
3.1939 3.1757 3.2117 3.6434e-04 1.0000e-06
3.2292 3.2117 3.2476 2.9563e-04 1.0000e-06
3.2649 3.2476 3.2836 1.9751e-04 1.0000e-06
3.3010 3.2836 3.3196 1.8672e-04 1.0000e-06
3.3375 3.3196 3.3555 2.1691e-04 1.0000e-06
3.3744 3.3555 3.3915 1.9755e-04 1.0000e-06
3.4101 3.3915 3.4274 4.4606e-04 1.0000e-06
3.4461 3.4274 3.4634 4.7172e-04 1.0000e-06
3.4824 3.4634 3.4993 3.7468e-04 1.0000e-06
3.5174 3.4993 3.5353 3.2349e-04 1.0000e-06
3.5528 3.5353 3.5712 4.7748e-04 1.0000e-06
3.5885 3.5712 3.6071 4.1073e-04 1.0000e-06
3.6245 3.6071 3.6431 3.1599e-04 1.0000e-06
3.6610 3.6431 3.6790 4.9815e-04 1.0000e-06
3.6978 3.6790 3.7149 4.5752e-04 1.0000e-06
3.7331 3.7149 3.7509 4.3401e-04 1.0000e-06
3.7687 3.7509 3.7868 3.9048e-04 1.0000e-06
3.8047 3.7868 3.8227 3.1633e-04 1.0000e-06
3.8410 3.8227 3.8586 4.6190e-04 1.0000e-06
3.8776 3.8586 3.8945 3.7843e-04 1.0000e-06
3.9127 3.8945 3.9305 3.5891e-04 1.0000e-06
3.9481 3.9305 3.9664 2.9173e-04 1.0000e-06
3.9838 3.9664 4.0023 3.7590e-04 1.0000e-06
4.0198 4.0023 4.0382 2.6876e-04 1.0000e-06
4.0561 4.0382 4.0741 5.4105e-04 1.0000e-06
4.0928 4.0741 4.1100 1.8019e-04 1.0000e-06
4.1277 4.1100 4.1459 3.2236e-04 1.0000e-06
4.1630 4.1459 4.1818 5.1695e-04 1.0000e-06
4.2006 4.1818 4.2176 6.2815e-04 1.0000e-06
4.2365 4.2176 4.2535 3.1531e-04 1.0000e-06
4.2705 4.2535 4.2894 2.4629e-04 1.0000e-06
4.3069 4.2894 4.3253 4.3601e-04 1.0000e-06
4.3437 4.3253 4.3611 1.9547e-04 1.0000e-06
4.3786 4.3611 4.3970 5.2529e-04 1.0000e-06
4.4138 4.3970 4.4329 5.2287e-04 1.0000e-06
4.4492 4.4329 4.4687 1.9501e-04 1.0000e-06
4.4849 4.4687 4.5046 5.4061e-04 1.0000e-06
4.5210 4.5046 4.5404 4.3806e-04 1.0000e-06
4.5573 4.5404 4.5763 5.8502e-04 1.0000e-06
4.5939 4.5763 4.6121 4.8949e-04 1.0000e-06
4.6308 4.6121 4.6480 7.7138e-04 1.0000e-06
4.6656 4.6480 4.6838 4.9314e-04 1.0000e-06
4.7008 4.6838 4.7197 6.0960e-04 1.0000e-06
4.7385 4.7197 4.7555 5.1552e-04 1.0000e-06
4.7742 4.7555 4.7913 5.8545e-04 1.0000e-06
4.8101 4.7913 4.8271 2.1003e-04 1.0000e-06
4.8464 4.8271 4.8630 5.8550e-04 1.0000e-06
4.8804 4.8630 4.8988 2.5941e-04 1.0000e-06
4.9171 4.8988 4.9346 2.3430e-04 1.0000e-06
4.9542 4.9346 4.9704 4.3177e-04 1.0000e-06
4.9890 4.9704 5.0062 1.9972e-05 1.0000e-06
5.0240 5.0062 5.0420 1.6134e-04 1.0000e-06
5.0593 5.0420 5.0778 6.0322e-04 1.0000e-06
5.0948 5.0778 5.1136 3.7667e-04 1.0000e-06
5.1306 5.1136 5.1493 3.1670e-04 1.0000e-06
